Key	Type	Desc	Українська [c0]
15bit	Text		15-біт
15bitDither	Text		15-біт(Dither)
24bit	Text		24-біти
Achievements/CatchStarlightNautilus	Text		Легендарна скам'янілість
Achievements/CherryBlossomTrees	Text		5 сантиметрів на секунду
Achievements/DefeatAzeos	Text		З Небес!
Achievements/DefeatGhorm	Text		Втеча з дому
Achievements/DefeatGlurch	Text		Слизька зустріч
Achievements/DefeatHivemother	Text		Дивись під ноги
Achievements/DefeatIgneous	Text		Пропалювання наскрізь
Achievements/DefeatIvy	Text		Токсична особистість
Achievements/DefeatKingSlime	Text		Слизький шинобі
Achievements/DefeatMalugaz	Text		Ти чарівник.
Achievements/DefeatMorpha	Text		Слизький, коли мокрий.
Achievements/DefeatOmoroth	Text		З глибин!
Achievements/DefeatRaAkar	Text		Лише пустеля.
Achievements/Discover100CookBookRecipes	Text		Сертифікований шеф-кухар.
Achievements/EquipRingOfRockAndStone	Text		Скеля і камінь!
Achievements/GainOver200MovementSpeed	Text		Поспішаю.
Achievements/HarvestGoldenIngredient	Text		Фермер Мідас
Achievements/KeyArtCharacter	Text		Синдром самозванця
Achievements/MaxedOutCooking	Text		Зав'язуй з цим!
Achievements/MaxedOutCrafting	Text		Хитрий дослідник
Achievements/MaxedOutFishing	Text		Повністю на гачку
Achievements/MaxedOutGardening	Text		Годувальник природи
Achievements/MaxedOutMelee	Text		...Жалить як бджола
Achievements/MaxedOutMining	Text		Глибока глибока нора.
Achievements/MaxedOutRange	Text		Робін Гуд
Achievements/MaxedOutRunning	Text		Пурхайте, як метелик ...
Achievements/MaxedOutVitality	Text		Піклувальник про здоров'я
Achievements/ObtainPhantomSpark	Text		Примарна іскра
Achievements/ObtainRuneSong	Text		Пісня Рун
Achievements/ObtainSoulSeeker	Text		Шукач душ
Achievements/ObtainTheOracleDeck	Text		Серце Карт
Achievements/SitOnCavelingToiletWithACrown	Text		Трон, гідний короля
Achievements/TalkToBigLarva	Text		Пліткарка
AchievementsLockedDescription/CatchStarlightNautilus	Text		Спіймати зоряний наутилус
AchievementsLockedDescription/DefeatAzeos	Text		Перемогти Азеоса - Небесного Титана
AchievementsLockedDescription/DefeatGhorm	Text		Перемогти Горма - Пожирача
AchievementsLockedDescription/DefeatGlurch	Text		Перемогти Гларча - Огидну Масу
AchievementsLockedDescription/DefeatHivemother	Text		Перемогти Матір вулика
AchievementsLockedDescription/DefeatIgneous	Text		Перемогти Ігнеуса - Розплавлену Масу
AchievementsLockedDescription/DefeatIvy	Text		Перемогти Плюща - Отруйну Масу
AchievementsLockedDescription/DefeatKingSlime	Text		Перемогти Короля Слизу
AchievementsLockedDescription/DefeatMalugaz	Text		Перемогти Малугаза - Зіпсованого
AchievementsLockedDescription/DefeatMorpha	Text		Перемогти Морфу - Водну Масу
AchievementsLockedDescription/DefeatOmoroth	Text		Перемогти Оморота - Морського Титана
AchievementsLockedDescription/DefeatRaAkar	Text		Перемогти Ра-Акара - Піщаного Титана
AchievementsLockedDescription/Discover100CookBookRecipes	Text		Відкрийте 100 рецептів в кулінарній книзі
AchievementsLockedDescription/EquipRingOfRockAndStone	Text		Одягти кільце скелі та кільце каменю
AchievementsLockedDescription/GainOver200MovementSpeed	Text		Отримайте понад 200% швидкості пересування
AchievementsLockedDescription/HarvestGoldenIngredient	Text		Зберіть урожай золотої рослини
